Artist Full Name,Art Title,Art Location Name,Art Location Street Address,Art Location City,Art Location State,Art Location Zip,Images,Web Detail Page,Location
Hawkeye Glenn,formation; language; memory,Susanna Dickinson House,Brush Square Park; 409 East Fifth Street,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic0000_003_1.jpg;http://assets.austintexas.gov/aipp/images/2010_003_2.jpg;http://assets.austintexas.gov/aipp/images/2010_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=534 ,"Brush Square Park; 409 East Fifth Street
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
Ambray Gonzales,Reach for your Dreams,Montopolis Youth Sports Complex,1200 Montopolis Drive;,Austin,TX,,http://assets.austintexas.gov/aipp/images/reach_gonzales.jpg;http://assets.austintexas.gov/aipp/images/pic2002_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2002_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=189 ,"1200 Montopolis Drive;
Austin, TX
(30.231944617138993, -97.69905121348535)"
Glenna Goodacre,Philosophers Rock,Zilker Park (Barton Springs Pool),2201 Barton Springs Rd.;,Austin,TX,78704,http://assets.austintexas.gov/aipp/images/pic1994_012_1.jpg;http://assets.austintexas.gov/aipp/images/pic1994_012_2.jpg;http://assets.austintexas.gov/aipp/images/pic1994_012_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=203 ,"2201 Barton Springs Rd.;
Austin, TX 78704
(30.26471932275173, -97.7650138477224)"
Nell Gould,Q (not a quince),Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_006.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=174 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Buster Graybill,Bait Box,East Side Hike and Bike Trail,;,Austin,Texas,78702,http://assets.austintexas.gov/aipp/images/pic002_2009_1.jpg;http://assets.austintexas.gov/aipp/images/pic002_2009_2.jpg;http://assets.austintexas.gov/aipp/images/pic002_2009_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=539 ,";
Austin, Texas 78702
(30.265009999611948, -97.71688999987344)"
Berthold Haas,Grotto Wall at Sparky Park,Sparky Park,3701 Grooms Street;,Austin,TX,78705,http://assets.austintexas.gov/aipp/images/pic2008_006_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_006_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_006_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=511 ,"3701 Grooms Street;
Austin, TX 78705
(30.299249877811803, -97.73244304043328)"
Ralph Helmick,Stevie Ray Vaughan Memorial,Town Lake Hike and Bike Trail,South Bank at South 1st &  Riverside Drive;,Austin,TX,78704,http://assets.austintexas.gov/aipp/images/sr_vaughn_1.jpg;http://assets.austintexas.gov/aipp/images/pic1994_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic1994_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=202 ,"South Bank at South 1st &amp; Riverside Drive;
Austin, TX 78704
(30.243309999856763, -97.76507999994192)"
T. Paul Hernandez,Snake Culvert,Central Access Television Facility ,1143 Northwestern Ave.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1990_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic1990_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic1990_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=96 ,"1143 Northwestern Ave.;
Austin, TX 78702
(30.26929346101582, -97.71621027780441)"
T. Paul Hernandez,Opossum Temple and Voodoo Pew,Town Lake Hike and Bike Trail,Possum Point - North Bank at Shoal Creek;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1993_007.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=107 ,"Possum Point - North Bank at Shoal Creek;
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
T. Paul Hernandez,Sanctuary of the Tribal Alligator,Hill Elementary School Park,8601 Tallwood Dr.;,Austin,TX,78759,http://assets.austintexas.gov/aipp/images/pic1988_005_1.jpg;http://assets.austintexas.gov/aipp/images/pic1988_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic1988_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=94 ,"8601 Tallwood Dr.;
Austin, TX 78759
(30.377320023175344, -97.74903553187386)"
Louis Herrera,Zilker Gardens Main Entry Gate,Zilker Botanical Garden,2220 Barton Springs Rd.;,Austin,TX,78746,http://assets.austintexas.gov/aipp/images/pic1995_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic1995_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic1995_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=116 ,"2220 Barton Springs Rd.;
Austin, TX 78746
(30.26623576611621, -97.76896450804315)"
Robert Herrera,For La Raza,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1992_006.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=104 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
David Heymann,"-56""- (Fifty-Six Inches)",Howson Branch,2500 Exposition Blvd.;,Austin,TX,78703,http://assets.austintexas.gov/aipp/images/pic1996_006.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=122 ,"2500 Exposition Blvd.;
Austin, TX 78703
(30.298125725275213, -97.76735472161073)"
David Heymann,Doctor Pangloss,Household Hazardous Waste Collection Facility,3810 Todd Lane;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pangloss_fiedorek.jpg;http://assets.austintexas.gov/aipp/images/pic1999_009_2.jpg;http://assets.austintexas.gov/aipp/images/pic1999_009_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=185 ,"3810 Todd Lane;
Austin, TX
(30.2134455629963, -97.7362741522781)"
Benito Huerta,Snake Path,Mexican American Cultural Center,600 River Street;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic2007_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2007_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2007_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=509 ,"600 River Street;
Austin, TX 78701
(30.25799797632783, -97.73958365734592)"
Leticia Huerta,Padre Nuestro,Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_014.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=182 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Barbara Jackson - Poe ,Unity: The Tree of Life,Dove Springs Recreation Center,5801 Ainez Dr.;,Austin,TX,78744,http://assets.austintexas.gov/aipp/images/pic1998_003.jpg;http://assets.austintexas.gov/aipp/images/pic1998_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic1998_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=131 ,"5801 Ainez Dr.;
Austin, TX 78744
(30.187670993636573, -97.739493725143)"
Jimmy Jalapeeno,Green Austin Series,Austin-Bergstrom International Airport,3600 Presidential Blvd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1991_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic1991_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic1991_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=184 ,"3600 Presidential Blvd.;
Austin, TX 78719
(30.202653698644724, -97.66544354925043)"
Jimmy Jalapeeno,Tree on Barton Creek,Austin City Hall & Public Plaza,300 Cesar Chavez Street;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic1994_008.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=169 ,"300 Cesar Chavez Street;
Austin, TX
(30.262762792232973, -97.74207698152165)"
James Janknegt ,Our Neighborhood,Austin City Hall & Public Plaza,300 Cesar Chavez Street;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic1994_007.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=168 ,"300 Cesar Chavez Street;
Austin, TX
(30.262762792232973, -97.74207698152165)"
Douglas Jaques,Vision,City Municipal Building,124 West Eighth St.; 3rd Floor;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1994_009.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=170 ,"124 West Eighth St.; 3rd Floor;
Austin, TX 78701
(30.270228755926325, -97.74312698614136)"
Judy Jensen,Voyages,Austin-Bergstrom International Airport,3600 Presidential Blvd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1999_006_1.jpg;http://assets.austintexas.gov/aipp/images/pic1999_006_2.jpg;http://assets.austintexas.gov/aipp/images/pic1999_006_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=139 ,"3600 Presidential Blvd.;
Austin, TX 78719
(30.202653698644724, -97.66544354925043)"
Jules BuckJones,Golden-Cheeked Warbler,Wildlife Conservation Division at Reicher Ranch,3635 RR 620 South;,Austin,TX,78738,http://assets.austintexas.gov/aipp/images/pic2009_004_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=521 ,"3635 RR 620 South;
Austin, TX 78738
(30.31908674332275, -97.95144847277496)"
Jules BuckJones,Jolly-Ville Plateau Salamander,Wildlife Conservation Division at Reicher Ranch,3635 RR 620 South;,Austin,TX,78738,http://assets.austintexas.gov/aipp/images/pic2009_005_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=522 ,"3635 RR 620 South;
Austin, TX 78738
(30.31908674332275, -97.95144847277496)"
Young-Min Kang,Austin Downtown Cruiser (Day),Austin-Bergstrom International Airport,3600 Presidential Blvd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic2009_006a_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_006a_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_006a_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=535 ,"3600 Presidential Blvd.;
Austin, TX 78719
(30.202653698644724, -97.66544354925043)"
Young-Min Kang,Austin Downtown Cruiser (Night),Austin-Bergstrom International Airport,3600 Presidential Blvd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic2009_006b_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_006b_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_006b_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=536 ,"3600 Presidential Blvd.;
Austin, TX 78719
(30.202653698644724, -97.66544354925043)"
Gabel Karsten,One by One,Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_007.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=175 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Misty Keasler,Kids in the Mirror; Orphanage at Svir Stroi. Svir Stroi; Russia,Health and Human Services Administration,7201 Levander Loop;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/kids_keasler.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=208 ,"7201 Levander Loop;
Austin, TX 78702
(30.252912715050357, -97.69302633905961)"
Philippe Klinefelter,Medicinal Plant Wall,Far Southeast EMS Station,5811 Nuckols Crossing Rd.;,Austin,TX,78744,http://assets.austintexas.gov/aipp/images/medicinal_klinefelter.jpg;http://assets.austintexas.gov/aipp/images/pic2004_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=220 ,"5811 Nuckols Crossing Rd.;
Austin, TX 78744
(30.187410190248045, -97.74255142004262)"
Will Larson,Discovery,Daniel E. Ruiz Branch Library,1600 Grove Blvd;,Austin,TX,78704,http://assets.austintexas.gov/aipp/images/pic2003_015_1.jpg;http://assets.austintexas.gov/aipp/images/pic2003_015_2.jpg;http://assets.austintexas.gov/aipp/images/pic2003_015_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=217 ,"1600 Grove Blvd;
Austin, TX 78704
(30.23026288494424, -97.70639867446477)"
Will Larson,! Mira !,"Lorraine ""Grandma"" Camacho Center",34 Robert T. Martinez Jr. St.;,Austin,TX,,http://assets.austintexas.gov/aipp/images/mira_larson.jpg;http://assets.austintexas.gov/aipp/images/pic2000_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic2000_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=186 ,"34 Robert T. Martinez Jr. St.;
Austin, TX
(30.249751193319128, -97.72356673200409)"
Andrea Legge,Elevated Prairie,Central/East Austin Police/Forensics Lab,812 Springdale Road;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2004_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=221 ,"812 Springdale Road;
Austin, TX 78702
(30.25887931191653, -97.69989657619288)"
R. Murray Legge,Elevated Prairie,Central/East Austin Police/Forensics Lab,812 Springdale Road;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2004_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=221 ,"812 Springdale Road;
Austin, TX 78702
(30.25887931191653, -97.69989657619288)"
Robert Levers,Four Terrorists Trapped in a Bullring,Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_008.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=176 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Deborah EveLewis,Elevated Prairie,Central/East Austin Police/Forensics Lab,812 Springdale Road;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2004_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=221 ,"812 Springdale Road;
Austin, TX 78702
(30.25887931191653, -97.69989657619288)"
Ken Little,Homeland Security,Butler Park,;,Austin,Texas,78701,http://assets.austintexas.gov/aipp/images/pic005_2009_1.jpg;http://assets.austintexas.gov/aipp/images/pic005_2009_2.jpg;http://assets.austintexas.gov/aipp/images/pic005_2009_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=542 ,";
Austin, Texas 78701
(30.25604476813926, -97.73717840179187)"
Ben M.Livingston,Confabulating Orbits,Austin Convention Center,500 East Cesar Chavez St.;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1996_004_1.jpg;http://assets.austintexas.gov/aipp/images/pic1996_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic1996_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=120 ,"500 East Cesar Chavez St.;
Austin, TX 78701
(30.26473389832728, -97.74923338272032)"
Jimmy Luu,Letterscape,Health and Human Services Campus,7201 Levander Loop;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2008_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=517 ,"7201 Levander Loop;
Austin, TX 78702
(30.252912715050357, -97.69302633905961)"
Peter Mangan,Sky Gates,EMS Station # 14,7200 Berkman Drive;,Austin,TX,,http://assets.austintexas.gov/aipp/images/sky_gates.jpg;http://assets.austintexas.gov/aipp/images/pic2000_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic2000_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=190 ,"7200 Berkman Drive;
Austin, TX
(30.32465702044624, -97.68935170918957)"
Rosario  Marquardt,Open Room Austin,Sand Beach Park,;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic0000_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic0000_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic0000_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=526 ,";
Austin, TX 78701
(30.25604476813926, -97.73717840179187)"
Phil Martin,Untitled,Southeast Austin Community Branch,5803 Nuckols Crossing;,Austin,TX,78744,http://assets.austintexas.gov/aipp/images/pic1998_001.jpg;http://assets.austintexas.gov/aipp/images/pic1998_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic1998_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=129 ,"5803 Nuckols Crossing;
Austin, TX 78744
(30.187860944732922, -97.74223740897932)"
Alfredo Martinez,The Children are the Future,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1991_003.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=99 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Armando Martinez,Signs of the Times,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1991_004.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=100 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Armando Martinez,Me Barrio,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1991_008_1.jpg;http://assets.austintexas.gov/aipp/images/pic1991_008_2.jpg;http://assets.austintexas.gov/aipp/images/pic1991_008_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=101 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Lizzie Martinez,formation; language; memory,Susanna Dickinson House,Brush Square Park; 409 East Fifth Street,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic0000_003_1.jpg;http://assets.austintexas.gov/aipp/images/2010_003_2.jpg;http://assets.austintexas.gov/aipp/images/2010_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=534 ,"Brush Square Park; 409 East Fifth Street
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
Freddie McCoo,A River Runs Thru Us,Carver Branch,1161 Angelina St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/ariver_mccoo.jpg;http://assets.austintexas.gov/aipp/images/pic2004_006_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_006_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=300 ,"1161 Angelina St.;
Austin, TX 78702
(30.269949966097215, -97.72449303369427)"
Colin McIntyre,Emergence,Butler Park,;,Austin,Texas,78701,http://assets.austintexas.gov/aipp/images/pic003_2009_1.jpg;http://assets.austintexas.gov/aipp/images/pic003_2009_2.jpg;http://assets.austintexas.gov/aipp/images/pic003_2009_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=540 ,";
Austin, Texas 78701
(30.25604476813926, -97.73717840179187)"
Colin McIntyre,Arboreal Passage,Austin Nature & Science Center ,301 Nature Center Dr.;,Austin,TX,78746,http://assets.austintexas.gov/aipp/images/arborealarch_5.jpg;http://assets.austintexas.gov/aipp/images/arborealarch_4.jpg;http://assets.austintexas.gov/aipp/images/arborealarch_6.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=545 ,"301 Nature Center Dr.;
Austin, TX 78746
(30.272315183034266, -97.77514285038444)"
Deborah Mersky,High Water Mark,Cesar Chavez Streetscape,Cesar Chavez; East and West of S. First Street;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic2008_008_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_008_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_008_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=532 ,"Cesar Chavez; East and West of S. First Street;
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
Metz Recreation Center Students,Me Barrio,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1991_008_1.jpg;http://assets.austintexas.gov/aipp/images/pic1991_008_2.jpg;http://assets.austintexas.gov/aipp/images/pic1991_008_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=101 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Nobuho Nagasawa,Seeding Time,Austin City Hall & Public Plaza,300 Cesar Chavez Street;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic2004_005_1.jpg;http://assets.austintexas.gov/aipp/images/pic2004_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=500 ,"300 Cesar Chavez Street;
Austin, TX
(30.262762792232973, -97.74207698152165)"
David Newton,Spirit of Hope,Millennium Youth Entertainment Complex,1156 Hargrave St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2000_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2000_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2000_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=143 ,"1156 Hargrave St.;
Austin, TX 78702
(30.272549006761892, -97.70953730834702)"
Lori Norwood,Learning to Fly,Milwood Branch,12500 Amherst Dr.;,Austin,TX,78727,http://assets.austintexas.gov/aipp/images/pic1997_015_1.jpg;http://assets.austintexas.gov/aipp/images/pic1997_015_2.jpg;http://assets.austintexas.gov/aipp/images/pic1997_015_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=127 ,"12500 Amherst Dr.;
Austin, TX 78727
(30.423104507687015, -97.71459149815166)"
Pat Oliphant,Angelina Eberly,Congress and 6th Street,West side between 6th and 7th Street;,Austin,TX,,http://assets.austintexas.gov/aipp/images/angelina_oliphant.jpg;http://assets.austintexas.gov/aipp/images/pic2004_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic2004_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=301 ,"West side between 6th and 7th Street;
Austin, TX
(30.267600000339883, -97.74297999972708)"
Andrew Ortiz,Worker,Health and Human Services Administration,7201 Levander Loop;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2003_005_1.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=209 ,"7201 Levander Loop;
Austin, TX 78702
(30.252912715050357, -97.69302633905961)"
Jill Pangallo,Let Me Entertain You,Fiesta Gardens Courtyard,2101 Jesse E. Segovia Street;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic004_2009_1.jpg;http://assets.austintexas.gov/aipp/images/pic004_2009_2.jpg;http://assets.austintexas.gov/aipp/images/pic004_2009_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=541 ,"2101 Jesse E. Segovia Street;
Austin, TX 78702
(30.249859111962678, -97.72488873538714)"
Jorge Pardo,The Courtyard,Conley-Guerrero Senior Activity Center,808 Nile Rd.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1988_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic1988_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic1988_003.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=93 ,"808 Nile Rd.;
Austin, TX 78702
(30.266028922049486, -97.71101219647505)"
Beverly Penn,Community Core Sample Project,St. John's Multipurpose Center,Corner of Blessing and Wheatly Ave.;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic2003_001_1b.jpg;http://assets.austintexas.gov/aipp/images/pic2003_001_2b.jpg;http://assets.austintexas.gov/aipp/images/pic2003_001_3b.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=192 ,"Corner of Blessing and Wheatly Ave.;
Austin, TX
(30.267600000339883, -97.74297999972708)"
Beverly Penn,Threshold Project,St. John's Multipurpose Center,Corner of Blessing and Wheatly Ave.;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic2003_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic2003_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2003_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=198 ,"Corner of Blessing and Wheatly Ave.;
Austin, TX
(30.267600000339883, -97.74297999972708)"
Joe Perez,Big Arch,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1992_004_1.jpg;http://assets.austintexas.gov/aipp/images/pic1992_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic1992_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=103 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Joe Perez,Lou Neff Point Gazebo,Town Lake Hike and Bike Trail,South Bank at Barton Creek;,Austin,TX,78704,http://assets.austintexas.gov/aipp/images/pic1993_006.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=106 ,"South Bank at Barton Creek;
Austin, TX 78704
(30.243309999856763, -97.76507999994192)"
Robert Phillips,Opossum Temple and Voodoo Pew,Town Lake Hike and Bike Trail,Possum Point - North Bank at Shoal Creek;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1993_007.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=107 ,"Possum Point - North Bank at Shoal Creek;
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
Arlene Polite,Untitled,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/untitled_polite.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=200 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Arlene Polite,Untitled,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/untitled_polite.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=200 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Arlene Polite,Play,Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_010.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=178 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Arlene Polite,Printing,Learning & Research Center,2800  Star of Texas Rd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1997_009.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=177 ,"2800 Star of Texas Rd.;
Austin, TX 78719
(30.136680000082094, -97.67493999978103)"
Damian Priour,The Waller Creek Shelves,Austin Convention Center,500 East Cesar Chavez St.;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1996_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic1996_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic1996_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=118 ,"500 East Cesar Chavez St.;
Austin, TX 78701
(30.26473389832728, -97.74923338272032)"
